tijd [s];pm 1.0 [ug/m3];pm 2.5 [ug/m3];pm 4.0 [ug/m3];pm 10 [ug/m3];temp [degC];rel. hum [%];CO2 [ppm]
1783375855;2.7;4.2;5.3;5.9;27.5;48.69;859
1783375860;2.6;4.0;5.2;5.7;27.455;48.88;819
1783375865;2.5;3.9;5.0;5.6;27.42;49.01;787
1783375870;2.5;4.0;5.1;5.7;27.385;49.14;774
1783375875;2.5;4.0;5.2;5.8;27.345;49.24;774
1783375880;2.6;4.2;5.5;6.1;27.3;49.37;765
1783375885;2.5;4.2;5.5;6.1;27.235;49.52;761
1783375890;2.5;4.1;5.3;5.9;27.16;49.82;786
1783375895;2.4;3.9;5.2;5.8;27.075;50.48;1064
1783375900;2.3;3.8;5.0;5.6;26.995;50.79;1000
1783375905;2.2;3.7;4.9;5.5;26.95;50.88;916
1783375910;2.0;3.5;4.7;5.2;26.925;50.92;898
1783375915;2.0;3.5;4.6;5.2;26.91;50.96;844
1783375920;2.0;3.5;4.6;5.2;26.9;50.93;805
1783375925;2.0;3.4;4.6;5.2;26.89;50.86;762
1783375930;2.0;3.5;4.7;5.3;26.88;50.81;744
1783375935;1.9;3.5;4.7;5.3;26.87;50.78;724
1783375941;2.0;3.6;4.8;5.4;26.855;50.76;726
1783375946;2.0;3.6;4.9;5.5;26.835;50.79;709
1783375951;2.0;3.6;4.9;5.5;26.83;50.84;715
1783375956;1.9;3.5;4.8;5.4;26.82;50.86;721
1783375961;1.8;3.5;4.8;5.4;26.82;50.87;710
1783375966;1.8;3.5;4.8;5.4;26.825;50.88;706
1783375971;1.9;3.6;5.0;5.6;26.83;50.86;702
1783375976;1.9;3.7;5.1;5.8;26.835;50.84;705
1783375981;1.8;3.6;5.0;5.6;26.84;50.82;702
1783375986;1.9;3.7;5.2;5.9;26.845;50.81;693
1783375991;1.9;3.8;5.3;6.0;26.85;50.83;692
1783375996;1.9;3.8;5.4;6.1;26.86;50.84;685
1783376001;1.9;4.0;5.6;6.4;26.87;50.83;674
1783376006;2.0;4.0;5.7;6.5;26.875;50.81;671
1783376011;1.9;4.0;5.7;6.5;26.885;50.77;666
1783376017;1.9;3.9;5.6;6.4;26.89;50.76;654
1783376022;1.8;3.8;5.4;6.2;26.895;50.79;655
